Frequency (cm^-1),Residual (kJy/sr),Uncertainty (1 sigma),Galaxy (at Pole)
2.27,5,14,4
2.72,9,19,3
3.18,15,25,-1
3.63,4,23,-1
4.08,19,22,3
4.54,-30,21,6
4.99,-30,18,8
5.45,-10,18,8
5.9,32,16,10
6.35,4,14,10
6.81,-2,13,12
7.26,13,12,20
7.71,-22,11,25
8.17,8,10,30
8.62,8,11,36
9.08,-21,12,41
9.53,9,14,46
9.98,12,16,57
10.44,11,18,65
10.89,-29,22,73
11.34,-46,22,93
11.8,58,23,98
12.25,6,23,105
12.71,-6,23,121
13.16,6,22,135
13.61,-17,21,147
14.07,6,20,160
14.52,26,19,178
14.97,-12,19,199
15.43,-19,19,221
15.88,8,21,227
16.34,7,23,250
16.79,14,26,275
17.24,-33,28,295
17.7,6,30,312
18.15,26,32,336
18.61,-26,33,363
19.06,-6,35,405
19.51,8,41,421
19.97,26,55,435
20.42,57,88,477
20.87,-116,155,519
21.33,-432,282,573
