theta,I
-0.009741242562760672,8.94
-0.009542453887939614,8.75
-0.00934366445891571,8.75
-0.009144874291395974,8.81
-0.008946083401087768,8.97
-0.008747291803698803,8.96
-0.00854849951493712,8.88
-0.008349706550511083,8.92
-0.00815091292612939,8.9
-0.00795211865750104,8.87
-0.007753323760335346,9.0
-0.007554528250341911,9.09
-0.007355732143230634,9.12
-0.007156935454711695,9.12
-0.006958138200495552,9.19
-0.006759340396292926,9.19
-0.0065605420578148076,9.17
-0.006361743200772431,9.31
-0.006162943840877285,9.78
-0.005964143993841089,12.07
-0.0057653436753758,15.51
-0.0055665429011935936,16.02
-0.005367741687006866,12.96
-0.005168940048528218,9.08
-0.0049701380014704555,9.68
-0.004771335561546573,13.75
-0.004572532744469757,25.97
-0.004373729565953369,37.68
-0.004174926041710945,40.59
-0.00397612218745618,31.38
-0.0037773180189029317,17.37
-0.0035785135517652023,9.86
-0.003379708801757137,15.96
-0.003180903784593017,37.05
-0.002982098515987246,60.48
-0.002783293011654351,71.53
-0.002584487287308969,59.41
-0.0023856813586658416,33.61
-0.002186875241439808,11.47
-0.001988068951345795,12.24
-0.0017892625040988126,34.27
-0.0015904559154139469,74.29
-0.0013916492010063461,95.48
-0.0011928423765912254,86.04
-0.0009940354578838447,51.45
-0.0007952284605995153,17.44
-0.0005964214004535809,9.88
-0.0003976142931614148,28.99
-0.00019880715443841825,70.42
0.0,99.82
0.0001988071544384165,98.58
0.0003976142931614131,65.69
0.000596421400453579,27.07
0.0007952284605995135,9.64
0.0009940354578838447,17.44
0.0011928423765912236,51.47
0.0013916492010063444,81.23
0.0015904559154139451,87.26
0.0017892625040988109,65.86
0.0019880689513457938,32.4
0.002186875241439806,9.78
0.00238568135866584,10.18
0.002584487287308968,29.27
0.0027832930116543494,51.11
0.002982098515987245,60.94
0.0031809037845930152,50.49
0.0033797088017571354,29.34
0.0035785135517652014,10.73
0.00377731801890293,9.34
0.003976122187456179,12.87
0.0041749260417109435,25.27
0.004373729565953367,31.71
0.0045725327444697565,29.05
0.004771335561546571,19.58
0.004970138001470455,10.36
0.0051689400485282165,9.24
0.005367741687006864,9.22
0.005566542901193593,9.93
0.005765343675375798,11.41
0.005964143993841088,10.94
0.006162943840877283,9.7
0.0063617432007724295,9.28
0.006560542057814805,9.1
0.006759340396292926,9.11
0.006958138200495551,9.12
0.007156935454711693,9.07
0.007355732143230632,9.09
0.007554528250341908,9.17
0.007753323760335346,9.0
0.00795211865750104,9.04
0.008150912926129388,9.09
0.008349706550511081,9.22
0.008548499514937117,9.61
